"response","rating","temp","contact","bottle","judge"
36,"2","cold","no","1","1"
48,"3","cold","no","2","1"
47,"3","cold","yes","3","1"
67,"4","cold","yes","4","1"
77,"4","warm","no","5","1"
60,"4","warm","no","6","1"
83,"5","warm","yes","7","1"
90,"5","warm","yes","8","1"
17,"1","cold","no","1","2"
22,"2","cold","no","2","2"
14,"1","cold","yes","3","2"
50,"3","cold","yes","4","2"
30,"2","warm","no","5","2"
51,"3","warm","no","6","2"
90,"5","warm","yes","7","2"
70,"4","warm","yes","8","2"
36,"2","cold","no","1","3"
50,"3","cold","no","2","3"
42,"3","cold","yes","3","3"
23,"2","cold","yes","4","3"
80,"5","warm","no","5","3"
81,"5","warm","no","6","3"
73,"4","warm","yes","7","3"
62,"4","warm","yes","8","3"
46,"3","cold","no","1","4"
27,"2","cold","no","2","4"
48,"3","cold","yes","3","4"
32,"2","cold","yes","4","4"
57,"3","warm","no","5","4"
37,"2","warm","no","6","4"
84,"5","warm","yes","7","4"
58,"3","warm","yes","8","4"
26,"2","cold","no","1","5"
45,"3","cold","no","2","5"
61,"4","cold","yes","3","5"
41,"3","cold","yes","4","5"
48,"3","warm","no","5","5"
41,"3","warm","no","6","5"
58,"3","warm","yes","7","5"
55,"3","warm","yes","8","5"
46,"3","cold","no","1","6"
30,"2","cold","no","2","6"
54,"3","cold","yes","3","6"
37,"2","cold","yes","4","6"
32,"2","warm","no","5","6"
60,"4","warm","no","6","6"
88,"5","warm","yes","7","6"
73,"4","warm","yes","8","6"
13,"1","cold","no","1","7"
19,"1","cold","no","2","7"
31,"2","cold","yes","3","7"
29,"2","cold","yes","4","7"
22,"2","warm","no","5","7"
43,"3","warm","no","6","7"
32,"2","warm","yes","7","7"
49,"3","warm","yes","8","7"
25,"2","cold","no","1","8"
32,"2","cold","no","2","8"
39,"2","cold","yes","3","8"
40,"3","cold","yes","4","8"
51,"3","warm","no","5","8"
45,"3","warm","no","6","8"
42,"3","warm","yes","7","8"
67,"4","warm","yes","8","8"
12,"1","cold","no","1","9"
29,"2","cold","no","2","9"
47,"3","cold","yes","3","9"
28,"2","cold","yes","4","9"
47,"3","warm","no","5","9"
38,"2","warm","no","6","9"
72,"4","warm","yes","7","9"
65,"4","warm","yes","8","9"
